titulo,descricao,link,data_publicacao,fonte,categoria,n_palavras_titulo,n_palavras_desc,dia_semana,hora,sentimento
Multas por uso do telemóvel ao volante duplicaram no primeiro trimestre do ano,"As contraordenações por uso do telemóvel ao volante duplicaram no primeiro trimestre face ao mesmo período de 2024, tendo as polícias multado uma média de 84 condutores por dia, num total de 7.587, segundo a Segurança Rodoviária.",https://www.rtp.pt/noticias/pais/multas-por-uso-do-telemovel-ao-volante-duplicaram-no-primeiro-trimestre-do-ano_n1693070,2025-10-23 07:59:16+01:00,RTP,pais,13,37,3,7,0
"Portugal com maior prevalência no mundo da ""Doença dos Pezinhos"" - estudo","Portugal apresenta a maior prevalência da paramiloidose no mundo, com 2000 portadores da mutação genética responsável pela que é conhecida como a &quot;Doença dos Pezinhos&quot;, indica um estudo que será hoje divulgado.",https://www.rtp.pt/noticias/pais/portugal-com-maior-prevalencia-no-mundo-da-doenca-dos-pezinhos-estudo_n1693050,2025-10-23 01:37:39+01:00,RTP,pais,12,32,3,1,0
Tribunal determina acolhimento em centro educativo para menor suspeito de matar mãe,"O rapaz de 14 anos acusado de matar a mãe, a vereadora da Câmara de Vagos Susana Gravato, ficou sujeito à medida cautelar de guarda em centro educativo em regime fechado, por três meses, informou hoje fonte judicial.",https://www.rtp.pt/noticias/pais/tribunal-determina-acolhimento-em-centro-educativo-para-menor-suspeito-de-matar-mae_n1693045,2025-10-22 23:53:27+01:00,RTP,pais,12,38,2,23,0
"Pinto Balsemão dizia há um ano que o mundo ""estava feio""","Nas últimas intervenções que fez, Francisco Pinto Balsemão disse que o mundo &quot;estava feio&quot;. A última entrevista que deu à RTP foi a propósito dos 50 anos do PSD, em maio do ano passado.",https://www.rtp.pt/noticias/pais/pinto-balsemao-dizia-ha-um-ano-que-o-mundo-estava-feio_v1693031,2025-10-22 22:08:49+01:00,RTP,pais,11,34,2,22,0
"Adolescente suspeito de matar a mãe. ""Pode ter sido uma decisão impulsiva""","A RTP falou com uma psiquiatra sobre o caso do adolescente de 14 anos suspeito de ter morto a mãe em Vagos. &quot;A doença mental grave raramente está relacionada com episódios de agressividade&quot;, explicou Maria Moreno.",https://www.rtp.pt/noticias/pais/adolescente-suspeito-de-matar-a-mae-pode-ter-sido-uma-decisao-impulsiva_v1693029,2025-10-22 22:01:50+01:00,RTP,pais,12,36,2,22,0
"Ramalho Eanes destaca papel de Pinto Balsemão na ""conquista da democracia""","António Ramalho Eanes, que esteve presente esta quarta-feira nas cerimónias fúnebres de Francisco Pinto Balsemão, destacou o papel que o fundador da SIC e do Expresso desempenhou &quot;na conquista da democracia&quot;, assim como &quot;na conquista da liberdade de imprensa e da comunicação social&quot;.",https://www.rtp.pt/noticias/pais/ramalho-eanes-destaca-papel-de-pinto-balsemao-na-conquista-da-democracia_v1693026,2025-10-22 21:50:47+01:00,RTP,pais,11,43,2,21,0
Morte de Odair Moniz. Polícia acusado insiste que viu arma branca,"O polícia acusado de homicídio pediu desculpas aos familiares e amigos da vitima, mas insistiu que foi ameaçado com uma arma branca.",https://www.rtp.pt/noticias/pais/morte-de-odair-moniz-policia-acusado-insiste-que-viu-arma-branca_v1693024,2025-10-22 21:48:47+01:00,RTP,pais,11,22,2,21,0
Pinto Balsemão. Políticos e personalidades lembram papel importante na democracia,Pinto Balsemão é lembrado pelos vários quadrantes políticos como um homem de muitas dimensões. Uma das mais importantes é a de jornalista e de pioneiro na comunicação social.,https://www.rtp.pt/noticias/pais/pinto-balsemao-politicos-e-personalidades-lembram-papel-importante-na-democracia_v1693020,2025-10-22 21:29:47+01:00,RTP,pais,10,28,2,21,0
Filha de José Manuel Anes fica em prisão preventiva por suspeitas de agressão ao pai,"Ana Rawson, filha de José Manuel Anes, ficou em prisão preventiva esta quarta-feira por suspeitas de tentativa de homicídio do próprio pai, antigo presidente do Observatório de Segurança, Criminalidade Organizada e Terrorismo (OSCOT).",https://www.rtp.pt/noticias/pais/filha-de-jose-manuel-anes-fica-em-prisao-preventiva-por-suspeitas-de-agressao-ao-pai_n1693000,2025-10-22 19:36:54+01:00,RTP,pais,15,33,2,19,0
IPMA. Depressão Benjamin agrava o estado do tempo a partir de hoje,"O IPMA alertou hoje para o agravamento do estado do tempo nos próximos dias, com chuva persistente e vento forte, especialmente no Norte e no Centro do continente, por efeitos da depressão Benjamin.",https://www.rtp.pt/noticias/pais/ipma-depressao-benjamin-agrava-o-estado-do-tempo-a-partir-de-hoje_n1692961,2025-10-22 19:01:16+01:00,RTP,pais,12,33,2,19,0
Ex-presidente dos Bombeiros Voluntários do Porto condenado a pena suspensa por peculato,O antigo presidente da Associação Humanitária dos Bombeiros Voluntários do Porto Jaime Madureira foi hoje condenado a uma pena suspensa de quatro anos de prisão por se ter apropriado de 53.334 mil euros daquela instituição entre 2014 e 2019.,https://www.rtp.pt/noticias/pais/ex-presidente-dos-bombeiros-voluntarios-do-porto-condenado-a-pena-suspensa-por-peculato_n1692950,2025-10-22 18:54:53+01:00,RTP,pais,12,39,2,18,1
Presidente da Carris renuncia ao cargo,"O presidente da Carris, Pedro de Brito Bogas, renunciou esta quarta-feira ao cargo que desempenhava na empresa. A notícia surge dois dias após a divulgação do relatório preliminar ao acidente com o Elevador da Glória, em Lisboa, que apontou responsabilidades à Carris.",https://www.rtp.pt/noticias/pais/presidente-da-carris-renuncia-ao-cargo_n1692982,2025-10-22 17:59:28+01:00,RTP,pais,6,42,2,17,0
Circulação na linha verde do metro de Lisboa retomada após incidente com passageiro,A linha verde do Metropolitano de Lisboa esteve interrompida esta quarta-feira devido a um incidente com um passageiro que obrigou à paragem das carruagens.,https://www.rtp.pt/noticias/pais/circulacao-na-linha-verde-do-metro-de-lisboa-retomada-apos-incidente-com-passageiro_n1692975,2025-10-22 17:41:20+01:00,RTP,pais,13,24,2,17,0
Mau tempo causa quatro ocorrências em duas ilhas dos Açores,"O mau tempo nos Açores causou hoje quatro ocorrências nas ilhas Terceira e São Jorge, sendo três inundações e uma derrocada, segundo o Serviço Regional de Proteção Civil e Bombeiros dos Açores (SRPCBA).",https://www.rtp.pt/noticias/pais/mau-tempo-causa-quatro-ocorrencias-em-duas-ilhas-dos-acores_n1692941,2025-10-22 15:24:25+01:00,RTP,pais,10,33,2,15,0
Criminalidade e insegurança. Portugueses sentem-se seguros mas estão mais desconfiados,"O mais recente Barómetro APAV/Pitagórica sobre o tema da &quot;Perceção de Criminalidade e Insegurança&quot; regista algumas alterações desde a pandemia. Entre os inquiridos, 60 por cento consideram Portugal um país seguro ou muito seguro. No entanto, &quot;a perceção de segurança diminuiu em todas as regiões face ao período pré-covid, com destaque para a Grande Lisboa e a Europa em geral&quot;.",https://www.rtp.pt/noticias/pais/criminalidade-e-inseguranca-portugueses-sentem-se-seguros-mas-estao-mais-desconfiados_n1692930,2025-10-22 15:12:05+01:00,RTP,pais,10,60,2,15,0
Pilotos que negaram voar para Israel chamados ao Pentágono?,"Vídeo mostra homem e mulher com fardas militares a serem retirados de uma sala e algemados, enquanto gritavam contra o ""genocídio"" em Gaza. Mas não são pilotos nem estavam no Pentágono.",https://observador.pt/factchecks/fact-check-pilotos-dos-eua-foram-convocados-ao-pentagono-por-se-terem-recusado-a-voar-para-israel/,2025-10-24 12:52:12+01:00,Observador,geral,9,31,4,12,0
UE acusa TikTok e Meta de violarem obrigação de lei europeia,"Bruxelas critica a falta de transparência no acesso aos dados das plataformas, considerando que os sistemas atuais das duas empresas tecnológicas são ""excessivamente complexos e pouco funcionais"".",https://observador.pt/2025/10/24/comissao-europeia-acusa-tiktok-e-meta-de-violarem-obrigacoes-de-transparencia-impostas-pela-lei-da-uniao-europeia/,2025-10-24 12:42:53+01:00,Observador,geral,11,27,4,12,0
Sarmento promete proteger preços no fim do desconto no ISP,"Miranda Sarmento não se indica calendário para repor o corte feito no imposto petrolífero, mas promete proteger os preços",https://observador.pt/2025/10/24/sarmento-reconhece-obrigacao-de-acabar-com-desconto-nos-combustiveis-mas-promete-proteger-precos/,2025-10-24 12:41:38+01:00,Observador,geral,10,19,4,12,0
Jovem armada para defender irmã de assédio de imigrantes?,"De um dia para o outro, a postura de uma jovem escocesa, com armas brancas na mão, tornou-se viral, com muitas publicações a referirem que tentou defender a irmã de um alegado ataque de imigrantes.",https://observador.pt/factchecks/fact-check-publicacoes-mostram-jovem-escocesa-armada-para-defender-a-irma-de-assedio-sexual-de-imigrantes/,2025-10-24 12:36:51+01:00,Observador,geral,9,35,4,12,0
Astérix chega finalmente à Lusitânia. E o Viriato? — Debate,"54 anos depois da estreia e 41 álbuns depois, o mais irredutível dos gauleses chega por fim à Lusitânia. Mas será que Vercingétorix convive bem com Viriato ou o bacalhau cativa Obélix?",https://observador.pt/programas/contra-corrente/asterix-chega-finalmente-a-lusitania-e-o-viriato-debate/,2025-10-24 12:33:42+01:00,Observador,geral,10,32,4,12,0
